Gene ID	source_id	Computed GO Component IDs	Computed GO Function IDs	Computed GO Process IDs	Curated GO Component IDs	Curated GO Function IDs	Curated GO Process IDs
PF3D7_0106600	PF3D7_0106600.1	N/A	N/A	N/A	GO:0044538	N/A	N/A
PF3D7_0106700	PF3D7_0106700.1	GO:0005634	N/A	GO:0042254	GO:0030686;GO:0005886	GO:0005525;GO:0003924;GO:0034511	GO:0000479;GO:0000462
PF3D7_0106800	PF3D7_0106800.1	N/A	GO:0005525;GO:0003924	N/A	GO:0005829;GO:0030139;GO:0012505;GO:0005768	GO:0003924	GO:0006886;GO:0007264
PF3D7_0106900	PF3D7_0106900.1	N/A	GO:0003824;GO:0070567	GO:0008299	GO:0020011	GO:0050518	GO:0035690;GO:0009410
PF3D7_0107000	PF3D7_0107000.1	N/A	GO:0005509	N/A	GO:0005814;GO:0005813	GO:0005509	GO:0007099;GO:0000278
PF3D7_0107100	PF3D7_0107100.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0107200	PF3D7_0107200.1	N/A	N/A	N/A	GO:0005634	GO:0004518	N/A
PF3D7_0107300	PF3D7_0107300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0107400	PF3D7_0107400.1	GO:0016021	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0107500	PF3D7_0107500.1	GO:0016021	N/A	N/A	GO:0016021;GO:0016020;GO:0005886	N/A	GO:0055088;GO:0009410
PF3D7_0107600	PF3D7_0107600.1	GO:0016021	GO:0005524;GO:0004672;GO:0003743	GO:0006468	GO:0022626	GO:0005524;GO:0004694;GO:0004672	GO:0006468;GO:0010998
PF3D7_0107700	PF3D7_0107700.1	GO:0016021	GO:0016740	N/A	GO:0020011;GO:0009986;GO:0044164;GO:0033644;GO:0008250	GO:0004579	GO:0018279
PF3D7_0107800	PF3D7_0107800.1	GO:0005634	GO:0004519;GO:0030145;GO:0004721	GO:0006302	GO:0030870;GO:0005634;GO:0035861	GO:0004518;GO:0005515;GO:0000014	GO:0006281;GO:0000724;GO:0006303;GO:0042138;GO:0097552;GO:0007095;GO:0000723
PF3D7_0107900	PF3D7_0107900.1	N/A	N/A	N/A	GO:0020011	N/A	N/A
PF3D7_0108000	PF3D7_0108000.1	GO:0005839;GO:0019774	GO:0004298	GO:0043161;GO:0051603	GO:0005737;GO:0005634;GO:0005839;GO:0019774	GO:0004175	GO:0010498;GO:0010499;GO:0043161;GO:0006511
PF3D7_0108100	PF3D7_0108100.1	N/A	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0108300	PF3D7_0108300.1	N/A	N/A	N/A	GO:0030430;GO:0044228	GO:0003729	N/A
PF3D7_0108400	PF3D7_0108400.1	GO:0016021	N/A	N/A	N/A	N/A	GO:0009410
PF3D7_0108400	PF3D7_0108400.2	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0108500	PF3D7_0108500.1	GO:0005634	N/A	N/A	GO:0020036;GO:0005634	N/A	N/A
PF3D7_0108600	PF3D7_0108600.1	GO:0016021	N/A	N/A	GO:0020036;GO:0005739	N/A	N/A
PF3D7_0108700	PF3D7_0108700.1	GO:0016021	N/A	N/A	GO:0020011	N/A	N/A
PF3D7_0108800	PF3D7_0108800.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0108900	PF3D7_0108900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0109000	PF3D7_0109000.1	N/A	N/A	N/A	GO:0070258	GO:0005515	N/A
PF3D7_0109100	PF3D7_0109100.1	N/A	N/A	N/A	GO:0044312;GO:0005788	N/A	N/A
PF3D7_0109200	PF3D7_0109200.1	GO:0005737;GO:0005849	GO:0003729	GO:0006378	GO:0005849	GO:0003723;GO:0003729	GO:0006397
PF3D7_0109300	PF3D7_0109300.1	GO:0016021	GO:0102336;GO:0102337;GO:0102338;GO:0016874;GO:0102756	N/A	GO:0005783;GO:0030176;GO:0005886	GO:0009922	GO:0034625;GO:0034626;GO:0019367;GO:0030148;GO:0042761
PF3D7_0109400	PF3D7_0109400.1	GO:0005874	GO:0048487	GO:0007023;GO:0007021	GO:0005829;GO:0015630	GO:0015631;GO:0051082	GO:0006457;GO:0065003;GO:0007021
PF3D7_0109500	PF3D7_0109500.1	N/A	GO:0008080;GO:0016747	N/A	GO:0031416	GO:0008080;GO:0004596	GO:0017196;GO:0006474
PF3D7_0109600	PF3D7_0109600.1	N/A	GO:0003676	N/A	GO:0005737	GO:0003690;GO:0003730	GO:0035556;GO:0043488;GO:0006355
PF3D7_0109700	PF3D7_0109700.1	N/A	N/A	GO:0000469	GO:0030686;GO:0005730	N/A	GO:0000462
PF3D7_0109800	PF3D7_0109800.1	GO:0005737	GO:0005524;GO:0004812;GO:0000166;GO:0004826;GO:0000049	GO:0006432;GO:0043039	GO:0005737;GO:0005829;GO:0005634;GO:0009328	GO:0004826	GO:0006432;GO:0009410
PF3D7_0109850	PF3D7_0109850.1	N/A	GO:0004168;GO:0016779	GO:0043048	GO:0020011;GO:0030176	GO:0004168	GO:0043048
PF3D7_0109950	PF3D7_0109950.1	GO:0016021	N/A	N/A	GO:0005739;GO:0045273	N/A	N/A
PF3D7_0110000	PF3D7_0110000.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0110100	PF3D7_0110100.1	N/A	GO:0005525;GO:0003924	N/A	N/A	GO:0003746	GO:0001514;GO:0006414
PF3D7_0110200	PF3D7_0110200.1	N/A	GO:0016971;GO:0016972	GO:0055114	GO:0005739	GO:0050660;GO:0016971;GO:0015035	GO:0008283
PF3D7_0110300	PF3D7_0110300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0110400	PF3D7_0110400.1	N/A	GO:0003676;GO:0008270	GO:0006379;GO:0006351	GO:0005665;GO:0005634	GO:0003899	GO:0001193;GO:0006366;GO:0006367;GO:0006283
PF3D7_0110500	PF3D7_0110500.1	N/A	GO:0005515	N/A	GO:0035267;GO:0005634	N/A	GO:0016573
PF3D7_0110600	PF3D7_0110600.1	N/A	GO:0005524;GO:0005509;GO:0016307	GO:0046488	N/A	GO:0016308;GO:0031267	GO:0009410
PF3D7_0110700	PF3D7_0110700.1	N/A	GO:0005515	N/A	GO:0005634	GO:0042393;GO:0051082	GO:0031497;GO:0006334
PF3D7_0110800	PF3D7_0110800.1	N/A	GO:0046872;GO:0003743	GO:0006352;GO:0070897	GO:0005634;GO:0097550;GO:0005667	GO:0000993;GO:0001139;GO:0000979;GO:0017025;GO:0008134	GO:0006352;GO:0051123;GO:0006367;GO:0001174
PF3D7_0110900	PF3D7_0110900.1	N/A	GO:0005524;GO:0016887;GO:0004017	N/A	GO:0005737;GO:0005829;GO:0005634	GO:0005524;GO:0004017	N/A
PF3D7_0111000	PF3D7_0111000.1	N/A	GO:0005524;GO:0008017;GO:0003777	GO:0007018	GO:0005737;GO:0005881;GO:0005871;GO:0005874	GO:0016887;GO:0008017;GO:0003777;GO:0008574	GO:0035082;GO:0060271;GO:0007018
PF3D7_0111200	PF3D7_0111200.1	N/A	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0111300	PF3D7_0111300.1	N/A	GO:0005524;GO:0016887	N/A	GO:0005663;GO:0005634	GO:0003677	GO:0006260
PF3D7_0111400	PF3D7_0111400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0111500	PF3D7_0111500.1	GO:0016021	GO:0005524;GO:0019205	GO:0006139	GO:0020011;GO:0005737;GO:0005634	GO:0033862;GO:0004127;GO:0004550;GO:0004849	GO:0046705;GO:0006225;GO:0006165;GO:0006163;GO:0006221
PF3D7_0111600	PF3D7_0111600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0111700	PF3D7_0111700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0111800	PF3D7_0111800.1	N/A	GO:0003723;GO:0003743	GO:0006413	GO:0016281;GO:0005634	GO:0000340;GO:0003743	N/A
PF3D7_0111900	PF3D7_0111900.1	N/A	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0112000	PF3D7_0112000.1	N/A	GO:0016888;GO:0016788	N/A	GO:0020011;GO:0009986;GO:0033644;GO:0005634;GO:0020005	GO:0008296;GO:0004536	GO:0006259
PF3D7_0112100	PF3D7_0112100.1	N/A	N/A	N/A	GO:0071944;GO:0005737	N/A	N/A
PF3D7_0112200	PF3D7_0112200.1	GO:0016021	GO:0008559;GO:0005524;GO:0016887;GO:0042626	GO:0055085;GO:0042908	GO:0020036;GO:0005887;GO:0016020;GO:0005886	GO:0042626;GO:0043295	GO:0042493;GO:0009410;GO:0055085
PF3D7_0112300	PF3D7_0112300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0112500	PF3D7_0112500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0112700	PF3D7_0112700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0112800	PF3D7_0112800.1	GO:0016021	N/A	N/A	GO:0020002	N/A	N/A
PF3D7_0112900	PF3D7_0112900.1	GO:0016021	N/A	N/A	GO:0020036;GO:0043657;GO:0044228	N/A	N/A
PF3D7_0113000	PF3D7_0113000.1	N/A	N/A	N/A	GO:0044538;GO:0044228	GO:0046789	GO:0052553;GO:0012501
PF3D7_0113100	PF3D7_0113100.1	GO:0016021	N/A	N/A	GO:0009986;GO:0044228	N/A	N/A
PF3D7_0113200	PF3D7_0113200.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0113300	PF3D7_0113300.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0113400	PF3D7_0113400.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0113600	PF3D7_0113600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0113700	PF3D7_0113700.1	GO:0016021	GO:0051082	GO:0006457	GO:0020036;GO:0005829;GO:0044164	GO:0051087;GO:0015485;GO:0042393;GO:0005515;GO:0051082	GO:0051085;GO:0020035;GO:0009408
PF3D7_0113800	PF3D7_0113800.1	GO:0016021	GO:0046789	GO:0009405	N/A	N/A	N/A
PF3D7_0113900	PF3D7_0113900.1	GO:0016021	N/A	N/A	GO:0020036;GO:0030430;GO:0044228	GO:0019956;GO:0005515	GO:0020035
PF3D7_0114000	PF3D7_0114000.1	GO:0016021	N/A	N/A	GO:0020036	GO:0005515	N/A
PF3D7_0114100	PF3D7_0114100.1	N/A	N/A	N/A	GO:0020036;GO:0016021;GO:0016020;GO:0005634;GO:0020005	N/A	GO:0042000
PF3D7_0114200	PF3D7_0114200.1	GO:0016021	N/A	N/A	GO:0020036	N/A	N/A
PF3D7_0114300	PF3D7_0114300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0114400	PF3D7_0114400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0114500	PF3D7_0114500.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0114600	PF3D7_0114600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0114700	PF3D7_0114700.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0114750	PF3D7_0114750.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0114800	PF3D7_0114800.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0114900	PF3D7_0114900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0115000	PF3D7_0115000.1	GO:0016021	N/A	N/A	GO:0009986;GO:0044228	N/A	N/A
PF3D7_0115050	PF3D7_0115050.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0115100	PF3D7_0115100.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0115150	PF3D7_0115150.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0115200	PF3D7_0115200.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0115300	PF3D7_0115300.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0115400	PF3D7_0115400.1	GO:0016021	N/A	N/A	GO:0020036	N/A	GO:0020013
PF3D7_0115500	PF3D7_0115500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0115600	PF3D7_0115600.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0115700	PF3D7_0115700.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0200100	PF3D7_0200100.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839;GO:0046789	GO:0020033;GO:0098609;GO:0020035
PF3D7_0200200	PF3D7_0200200.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0200300	PF3D7_0200300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0200400	PF3D7_0200400.1	N/A	N/A	N/A	GO:0020036	N/A	GO:0020013
PF3D7_0200500	PF3D7_0200500.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0200600	PF3D7_0200600.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0200700	PF3D7_0200700.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0200800	PF3D7_0200800.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0200900	PF3D7_0200900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0201000	PF3D7_0201000.1	N/A	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0201100	PF3D7_0201100.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0201200	PF3D7_0201200.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0201300	PF3D7_0201300.1	N/A	N/A	N/A	GO:0020036;GO:0005634	N/A	GO:0020013
PF3D7_0201400	PF3D7_0201400.1	N/A	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0201500	PF3D7_0201500.1	N/A	N/A	N/A	GO:0020036;GO:0043657	N/A	N/A
PF3D7_0201600	PF3D7_0201600.1	GO:0016021	N/A	N/A	GO:0044164;GO:0044228	N/A	GO:0020035
PF3D7_0201700	PF3D7_0201700.1	GO:0016021	N/A	N/A	GO:0020036	N/A	N/A
PF3D7_0201800	PF3D7_0201800.1	N/A	GO:0051082	GO:0006457	GO:0020036;GO:0005829;GO:0020030;GO:0005634	GO:0051087;GO:0005515;GO:0051082	GO:0051085
PF3D7_0201900	PF3D7_0201900.1	GO:0016021	N/A	N/A	GO:0020036;GO:0005737;GO:1903561;GO:0036457;GO:0005634;GO:0020003	GO:0005515	N/A
PF3D7_0202000	PF3D7_0202000.1	N/A	N/A	N/A	GO:0020036;GO:0005737;GO:1903561;GO:0020030;GO:0005634	GO:0003723;GO:0003779;GO:0005515	GO:0020035
PF3D7_0202100	PF3D7_0202100.1	N/A	N/A	N/A	GO:0020036;GO:0043657	N/A	N/A
PF3D7_0202200	PF3D7_0202200.1	N/A	N/A	N/A	GO:0020036;GO:0030430;GO:0016021;GO:0016020;GO:0032991	GO:0044877	N/A
PF3D7_0202300	PF3D7_0202300.1	N/A	N/A	N/A	GO:0020036;GO:0043657	N/A	N/A
PF3D7_0202400	PF3D7_0202400.1	N/A	N/A	N/A	GO:0005737;GO:0043657;GO:0030430;GO:0005886;GO:0020003	GO:0043022	GO:0006417
PF3D7_0202500	PF3D7_0202500.1	N/A	N/A	N/A	GO:1903561;GO:0005634;GO:0020005	N/A	N/A
PF3D7_0202600	PF3D7_0202600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0202600	PF3D7_0202600.2	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0202700	PF3D7_0202700.1	N/A	GO:0016767	GO:0008299	GO:0020011;GO:0005737;GO:0005739;GO:1990234	GO:0004659	GO:0016117;GO:0008299;GO:0009657;GO:0006744
PF3D7_0202800	PF3D7_0202800.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0202900	PF3D7_0202900.1	GO:0016021	GO:0016409	N/A	GO:0005794;GO:0005783	GO:0016409;GO:0019706	GO:0018230;GO:0018345;GO:0006612
PF3D7_0203000	PF3D7_0203000.1	N/A	N/A	N/A	GO:0005737;GO:0016020;GO:0020008	N/A	N/A
PF3D7_0203100	PF3D7_0203100.1	N/A	GO:0005524;GO:0004672	GO:0006468	N/A	GO:0004674	GO:0006468
PF3D7_0203200	PF3D7_0203200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0203300	PF3D7_0203300.1	GO:0005634	GO:0003684;GO:0004530	GO:0006281	GO:0070522;GO:0005739;GO:0000110	GO:0003684;GO:0004520;GO:0003697	GO:0070914;GO:0000710;GO:0006312;GO:0006289;GO:0006296
PF3D7_0203400	PF3D7_0203400.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0203500	PF3D7_0203500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0203600	PF3D7_0203600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0203700	PF3D7_0203700.1	N/A	N/A	N/A	GO:0005730;GO:0030687	N/A	GO:0000460;GO:0000470;GO:0042273
PF3D7_0203800	PF3D7_0203800.1	N/A	GO:0005515	N/A	GO:0005739	N/A	N/A
PF3D7_0203900	PF3D7_0203900.1	N/A	GO:0003677;GO:0003887;GO:0003824	GO:0006261	GO:0020011	GO:0008409;GO:0003677	N/A
PF3D7_0204000	PF3D7_0204000.1	N/A	N/A	GO:0030261	GO:0000793;GO:0000796;GO:0005634	GO:0003682	GO:0051276;GO:0010032;GO:0051306
PF3D7_0204100	PF3D7_0204100.1	N/A	GO:0005515	N/A	GO:0005829	N/A	N/A
PF3D7_0204200	PF3D7_0204200.1	GO:0031207	N/A	GO:0031204	GO:0005634	N/A	N/A
PF3D7_0204300	PF3D7_0204300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0204400	PF3D7_0204400.1	GO:0005737;GO:0030286;GO:0005874	GO:0003774	GO:0007017	GO:0030286	GO:0045505;GO:0051959	GO:2000582
PF3D7_0204500	PF3D7_0204500.1	N/A	GO:0003824;GO:0030170;GO:0008483	GO:0009058;GO:0006520	GO:0005739	GO:0004069;GO:0008483	GO:0006520
