T05|SRR6055337
UM_470|ERR3470528
UM_476|ERR3470529
UM_485|ERR3470530
UM_492|ERR3470531
UM_572|ERR3470532
UM_591|ERR3470535
UM_602|ERR3470536
Oocyst Sporozoites|SRR7059090
Oocyst Sporozoites__2|SRR7059091
Oocyst Sporozoites__3|SRR7059092
Salivary Gland Sporozoites|SRR7059093
Salivary Gland Sporozoites__2|SRR7059094
Salivary Gland Sporozoites__3|SRR7059095
0 hours|ERR006184
8 hours|ERR006185
16 hours|ERR006186
24 hours|ERR006187
32 hours|ERR006188
40 hours|ERR006189
48 hours|ERR006190
WT 37C|WT_37C_Rep1
WT 37C__2|WT_37C_Rep2
WT 41C|WT_41C_Rep1
WT 41C__2|WT_41C_Rep2
delta-LRR5-37C|PB31_37C_Rep1
delta-LRR5-37C__2|PB31_37C_Rep2
delta-LRR5-41C|PB31_41C_Rep1
delta-LRR5-41C__2|PB31_41C_Rep2
delta-DHC-37C|PB4_37C_Rep1
delta-DHC-37C__2|PB4_37C_Rep2
delta-DHC-41C|PB4_41C_Rep1
delta-DHC-41C__2|PB4_41C_Rep2
IDC 10hr|ERR174301
IDC 20hr|ERR185969
IDC 30hr|ERR185970
IDC 40hr|ERR185971
Sporozoite|SRR5146307
Sporozoite__2|SRR5146305
Sporozoite__3|SRR5146308
Sporozoite__4|SRR5146306
Oocyst|SRR5150407
Oocyst__2|SRR5150405
Oocyst__3|SRR5150408
Ring|SRR5146379
Ring__2|SRR5146380
Hour 5|SRR065639
Hour 10|SRR065640
Hour 15|SRR065641
Hour 20|SRR065642
Hour 25|SRR065643
Hour 30|SRR065644
Hour 35|SRR065645
Hour 40|SRR065646
IFC63_uncomplicated|ERR2028828
IFC66_uncomplicated|ERR2028829
IFD6_uncomplicated|ERR2028830
IFD8_uncomplicated|ERR2028832
IFM047_uncomplicated|ERR2028836
IFM-049_uncomplicated|ERR2028834
IFM050_uncomplicated|ERR2028838
IFM054_uncomplicated|ERR2028840
IFM058_uncomplicated|ERR2028842
IFM060_uncomplicated|ERR2028844
IFM061_uncomplicated|ERR2028846
IFM12_uncomplicated|ERR2028848
IFM14_uncomplicated|ERR2028850
IFM21_uncomplicated|ERR2028852
IFM23_uncomplicated|ERR2028854
IFM24_uncomplicated|ERR2028856
IFM26_uncomplicated|ERR2028858
IFM27_uncomplicated|ERR2028860
IFM53_uncomplicated|ERR2028862
IFM56_uncomplicated|ERR2028864
IFM57_uncomplicated|ERR2028863
SFC-023_severe|ERR2028805
SFC-025_severe|ERR2028806
SFC13_severe|ERR2028809
SFC14_severe|ERR2028810
SFC15_severe|ERR2028811
SFC16_severe|ERR2028812
SFC17_severe|ERR2028813
SFC-18_severe|ERR2028807
SFC19_severe|ERR2028814
SFC-21_severe|ERR2028808
SFC22_severe|ERR2028815
SFD1-CM_severe|ERR2028816
SFM-1_severe|ERR2028818
SFM-10_severe|ERR2028817
SFM-3_severe|ERR2028819
SFM-5_severe|ERR2028820
SFM-6_severe|ERR2028821
SFM-7_severe|ERR2028822
SFM-8_severe|ERR2028823
SFM9_severe|ERR2028824
SFU2_severe|ERR2028826
SFU-3_severe|ERR2028825
SXC2_severe|ERR2028827
young ring 8 hpi|ERR3196808
young ring 8 hpi__2|ERR3196816
young ring 8 hpi__3|ERR3196800
late ring_early trophozoite 16 hpi|ERR3196801
late ring_early trophozoite 16 hpi__2|ERR3196809
late ring_early trophozoite 16 hpi__3|ERR3196817
mid trophozoite 24 hpi|ERR3196802
mid trophozoite 24 hpi__2|ERR3196810
mid trophozoite 24 hpi__3|ERR3196818
late trophozoite 32 hpi|ERR3196803
late trophozoite 32 hpi__2|ERR3196811
late trophozoite 32 hpi__3|ERR3196819
early schizont 40 hpi|ERR3196812
early schizont 40 hpi__2|ERR3196804
early schizont 40 hpi__3|ERR3196820
schizont 44 hpi|ERR3196805
schizont 44 hpi__2|ERR3196813
schizont 44 hpi__3|ERR3196821
late schizont 48 hpi|ERR3196806
late schizont 48 hpi__2|ERR3196814
late schizont 48 hpi__3|ERR3196822
purified merozoites 0 hpi|ERR3196807
purified merozoites 0 hpi__2|ERR3196823
purified merozoites 0 hpi__3|ERR3196815
